大[大],da4,"S.V. 1 big; great; high; tall; vast 2 much; very 3 old 4 eldest 5 adult  N. , topo. father  CONS. 1 ∼ V tè V big/great/etc. V 2 ∼ A ∼ B used with two monosyllabic nouns, verbs, or stative verbs related in meaning to indicate high degree"
小[小],xiao3,"S.V. 1 small; little; petty; minor 2 young  PR. , humb. I; my; our  ADV. for a little while; for a moment  N. 1 the young 2 concubine  ATTR. 1 the last in order of seniority 2 used before names of persons or animals to indicate the young"
冷[冷],leng3,S.V. 1 cold 2 frosty (in manner) 3 topo. cool  B.F. 1 unfrequented; deserted; out-of-the-way 2 strange; rare 3 shot from hiding  N. Surname
热[熱],re4,"S.V. 1 hot 2 warm  B.F. 1 thermal 2 ardent; warmhearted 3 fever; temperature 4 craze; fad  N. , phy. heat  V. heat up; warm up; warm"
非常[非常],fei1chang2,ADV. 1 extraordinary; unusual; special 2 very; extremely; highly
漂亮[漂亮],piao4liang5,S.V. 1 handsome; beautiful 2 remarkable; brilliant; splendid; smart
干净[乾凈],gan1jing4,S.V. 1 clean; neat and tidy 2 complete; total
汉堡[漢堡],han4bao3,"N. , loan Hamburger"
薯条[薯條],shu3tiao2,N. french fries
好吃[好吃],hao3chi1,S.V. good to eat; tasty
真[真],zhen1,"S.V. true; real; genuine  ADV. 1 really; truly; indeed 2 clearly  N. , Dao. 1 original character of human beings 2 newcomer among the immortals"
好喝[好喝],hao3he1,S.V. good-tasting (of drinks)
便宜[便宜],pian2yi5,S.V. cheap  N. small advantages  V. let sb. off lightly
贵[貴],gui4,"S.V. expensive; costly  B.F. 1 highly valued 2 noble; of high rank 3 court. your  PREF. , court. esteemed  N. short for Guizhou"
// HelloChinese/Taste,,
柠檬[檸檬],ning2meng2,N. lemon M: ge / ²zhī / 个 / 只
酸[酸],suan1,"S.V. 1 sour; tart 2 sore; aching; tingling  B.F. 1 sick at heart; grieved; distressed 2 pedantic; impractical  N. , chem. acid"
甜[甜],tian2,S.V. 1 sweet 2 agreeable 3 (slang) profitable; well-paying 4 sound (of sleep)
太[太],tai4,ADV. excessively; too extremely; very  B.F. 1 grand; supreme 2 more/most senior
了[了],le5,M.P. (indicating a new situation)  A.M. (indicating completed action)
的[的],de5,"S.P. 1 (of subordination) 2 (noun-forming, like English -er)  CONS. (shì) A ∼ action emphasizing A  CONS. 1 coll. by 2 topo. plus"
菜[菜],cai4,N. 1 vegetables; greens 2 (non-staple) food 3 dish; course
辣[辣],la4,S.V. 1 peppery; hot 2 sharp; spicy; biting (of smell/taste) 3 vicious; ruthless
苦[苦],ku3,S.V. 1 bitter 2 excessive  N. hardship; suffering; pain  V. 1 cause sb. suffering 2 suffer from; be troubled by  ADV. painstakingly
咸[鹹],xian2,S.V. salty
// HelloChinese/Restaurants 1,,
米饭[米飯],mi3fan4,N. cooked rice M: wǎn / 碗
要[要],yao4,V.  | AUX. want/wish (to); ask (for)  AUX. shall; will; be about to  B.F. 1 must; should; need to 2 important; essential; vital 3 wr. summarize; outline  CONJ. if; suppose; in case  CONS. gēn A ∼ B ask A for B
饺子[餃子],jiao3zi5,N. dumplings; Chinese ravioli
服务员[服務員],fu2wu4yuan2,N. 1 attendant; clerk; waiter 2 service personnel
面条[麵條],mian4tiao2,N. noodles M: wǎn / ²gēn / 碗 / 根
牛排[牛排],niu2pai2,N. beefsteak M: ²kuài / 块
份[份],fen4,"M. (for copies of newspapers/etc.) share; portion  N. , coll. degree; extent  CONS. Zhị̌yǒu A de ∼ le. The only thing I can do is A."
沙拉[沙拉],sha1la1,"N. , loan salad"
色拉[色拉],se4la1,"N. , loan salad"
汤[湯],tang1,N. 1 hot/boiling water 2 hot springs 3 soup; broth 4 decoction 5 Surname
碗[碗],wan3,N.  | M. bowl
筷子[筷子],kuai4zi5,N. chopsticks M: shuāng / fù / 双 / 副
双[雙],shuang1,ATTR. 1 two; twin; both; dual 2 even (number) 3 double; twofold  M. pair  N. Surname
给[給],gei3,"V. give; give to  COV. 1 for; for the benefit of 2 by (in passive cons.)  SUF. to  CONS. 1 ∼ A yǐ B give B to A 2 ∼ wǒ V do V (strong, often angry, command)"
勺子[勺子],shao2zi5,N. ladle; scoop; spoon M: bǎ / 把
